id,title,content,community_id,created_by,post_type,status,tags,created_at
p1111111-1111-1111-1111-111111111111,Welcome to Tech Innovators!,Excited to launch this community for tech enthusiasts in Abu Dhabi. Let us share ideas and collaborate!,11111111-1111-1111-1111-111111111111,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,text,active,"{welcome,introduction}",2024-08-02 10:00:00
p2222222-2222-2222-2222-222222222222,AI Trends in 2025,What are the biggest AI trends you are seeing this year? I am particularly interested in generative AI applications.,11111111-1111-1111-1111-111111111111,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,text,active,"{ai,trends,discussion}",2024-10-26 10:00:00
p3333333-3333-3333-3333-333333333333,Looking for React Developer,Our startup is looking for a senior React developer. Must have 5+ years experience. DM if interested!,33333333-3333-3333-3333-333333333333,d3eebc99-9c0b-4ef8-bb6d-6bb9bd380a14,text,active,"{jobs,react,hiring}",2024-10-28 10:00:00
p4444444-4444-4444-4444-444444444444,Digital Transformation Best Practices,Sharing our journey of digital transformation. Key lessons: start small focus on culture measure everything.,22222222-2222-2222-2222-222222222222,c2eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,text,active,"{transformation,bestpractices,leadership}",2024-10-24 10:00:00
p5555555-5555-5555-5555-555555555555,Startup Funding Workshop - March 15,Join us for a workshop on securing seed funding. Expert VCs will share insights and answer questions.,33333333-3333-3333-3333-333333333333,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,event,active,"{event,funding,workshop}",2024-10-29 10:00:00
p6666666-6666-6666-6666-666666666666,Machine Learning Model Deployment,Best practices for deploying ML models to production? Looking for recommendations on tools and frameworks.,44444444-4444-4444-4444-444444444444,e4eebc99-9c0b-4ef8-bb6d-6bb9bd380a15,text,active,"{ml,deployment,devops}",2024-10-30 10:00:00
p7777777-7777-7777-7777-777777777777,Design System Showcase,Just finished building our company design system. Happy to share learnings and get feedback!,55555555-5555-5555-5555-555555555555,f5eebc99-9c0b-4ef8-bb6d-6bb9bd380a16,text,active,"{design,designsystem,ux}",2024-10-27 10:00:00
p8888888-8888-8888-8888-888888888888,Python vs R for Data Science,What is your preferred tool for data analysis and why? Let us discuss the pros and cons.,66666666-6666-6666-6666-666666666666,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,text,active,"{python,r,datascience,discussion}",2024-10-25 10:00:00
p9999999-9999-9999-9999-999999999999,Networking Event Next Week,Monthly tech meetup next Thursday at 6 PM. Great opportunity to connect with fellow innovators!,11111111-1111-1111-1111-111111111111,c2eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,event,active,"{event,networking,meetup}",2024-10-30 16:00:00
pa111111-1111-1111-1111-111111111111,Cloud Migration Success Story,We successfully migrated our entire infrastructure to AWS. Here is what we learned along the way.,22222222-2222-2222-2222-222222222222,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,text,active,"{cloud,aws,migration,casestudy}",2024-10-30 12:00:00
